Category ID,Commission Tier ID,Tier Name
2144,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2150,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2152,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2155,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2156,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2157,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2158,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2159,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2161,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2162,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2163,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2164,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2165,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2166,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2168,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2169,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2170,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2171,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2172,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2173,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2177,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2178,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2179,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2180,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2183,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2188,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2190,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2191,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2192,9ccfe96a-49ad-472d-95fb-3029dee54069,"Arts, Crafts & Sewing"
2196,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2197,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2199,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2200,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2205,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2206,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2207,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2211,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2213,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2215,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2216,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
2220,d2722109-c832-45ba-a1cd-28523c319250,Standard Selling Fee
